category,batch,key,tests,pairedCompleted,baselineStatus,baselineReason,fspecStatus,fspecReason,baselineTotalRuntimeMs,fspecTotalRuntimeMs,baselineProjectedCG,fspecProjectedCG
ldapi,12,ldapi-b0012-3d2cbf82aa,BenchmarkTest01402;BenchmarkTest01490,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,499751,6816985,38201,34651
ldapi,13,ldapi-b0013-6018d92712,BenchmarkTest01491;BenchmarkTest01492,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,763639,946888,38441,34890
ldapi,14,ldapi-b0014-b908b13ad0,BenchmarkTest01501;BenchmarkTest01568,False,completed,,excluded,flowdroid-oom+termination-2,362350,820511,38404,34853
ldapi,15,ldapi-b0015-3bfc05025e,BenchmarkTest01569;BenchmarkTest01743,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,611359,786183,38444,34893
ldapi,16,ldapi-b0016-b1d935a96a,BenchmarkTest01753;BenchmarkTest01754,True,completed,,completed,,46404,86706,38405,34854
ldapi,17,ldapi-b0017-1de69ae6c0,BenchmarkTest01755;BenchmarkTest01756,True,completed,,completed,,46798,79072,38203,34653
ldapi,18,ldapi-b0018-e0851234b3,BenchmarkTest01831;BenchmarkTest01832,True,completed,,completed,,73772,218087,38421,34857
ldapi,19,ldapi-b0019-fa448d7ee9,BenchmarkTest01902;BenchmarkTest01903,True,completed,,completed,,53419,96090,38229,34666
ldapi,20,ldapi-b0020-24163dee7f,BenchmarkTest01909;BenchmarkTest02025,False,missing,process-timeout,excluded,flowdroid-oom+termination-2,0,8003493,0,34666
ldapi,21,ldapi-b0021-fc319957e2,BenchmarkTest02036;BenchmarkTest02037,True,completed,,completed,,53895,94658,38229,34666
ldapi,22,ldapi-b0022-4e476b7bf9,BenchmarkTest02104;BenchmarkTest02114,True,completed,,completed,,56128,100097,38199,34649
ldapi,23,ldapi-b0023-e648555318,BenchmarkTest02115;BenchmarkTest02116,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,6497085,6430779,38195,34645
ldapi,24,ldapi-b0024-4e3a8716b6,BenchmarkTest02196;BenchmarkTest02208,True,completed,,completed,,50058,96432,38190,34640
ldapi,25,ldapi-b0025-e9af750e01,BenchmarkTest02299;BenchmarkTest02305,True,completed,,completed,,50930,90400,38396,34845
